"administrative_level_2","administrative_level_3","age","sex","population"
"Klaipėdos apskr.","Klaipėdos m.","60-65","Moteris",6307
"Klaipėdos apskr.","Klaipėdos m.","60-65","Vyras",4526
"Klaipėdos apskr.","Klaipėdos m.","65-70","Moteris",5251
"Klaipėdos apskr.","Klaipėdos m.","65-70","Vyras",3239
"Klaipėdos apskr.","Klaipėdos m.","70-75","Moteris",4389
"Klaipėdos apskr.","Klaipėdos m.","70-75","Vyras",2455
"Klaipėdos apskr.","Klaipėdos m.","75-80","Moteris",3594
"Klaipėdos apskr.","Klaipėdos m.","75-80","Vyras",1574
"Klaipėdos apskr.","Klaipėdos m.","80+","Moteris",6422
"Klaipėdos apskr.","Klaipėdos m.","80+","Vyras",2487
"Klaipėdos apskr.","Klaipėdos r.","0-5","Moteris",1615
"Klaipėdos apskr.","Klaipėdos r.","0-5","Vyras",1712
"Klaipėdos apskr.","Klaipėdos r.","10-15","Moteris",1803
"Klaipėdos apskr.","Klaipėdos r.","10-15","Vyras",1907
"Klaipėdos apskr.","Klaipėdos r.","15-20","Moteris",1485
"Klaipėdos apskr.","Klaipėdos r.","15-20","Vyras",1594
"Klaipėdos apskr.","Klaipėdos r.","20-25","Moteris",1605
"Klaipėdos apskr.","Klaipėdos r.","20-25","Vyras",1781
"Klaipėdos apskr.","Klaipėdos r.","25-30","Moteris",1921
"Klaipėdos apskr.","Klaipėdos r.","25-30","Vyras",2310
"Klaipėdos apskr.","Klaipėdos r.","30-35","Moteris",1886
"Klaipėdos apskr.","Klaipėdos r.","30-35","Vyras",2629
"Klaipėdos apskr.","Klaipėdos r.","35-40","Moteris",1987
"Klaipėdos apskr.","Klaipėdos r.","35-40","Vyras",2703
"Klaipėdos apskr.","Klaipėdos r.","40-45","Moteris",2082
"Klaipėdos apskr.","Klaipėdos r.","40-45","Vyras",2630
"Klaipėdos apskr.","Klaipėdos r.","45-50","Moteris",2163
"Klaipėdos apskr.","Klaipėdos r.","45-50","Vyras",2789
"Klaipėdos apskr.","Klaipėdos r.","5-10","Moteris",1646
"Klaipėdos apskr.","Klaipėdos r.","5-10","Vyras",1768
"Klaipėdos apskr.","Klaipėdos r.","50-55","Moteris",2190
"Klaipėdos apskr.","Klaipėdos r.","50-55","Vyras",2565
"Klaipėdos apskr.","Klaipėdos r.","55-60","Moteris",2246
"Klaipėdos apskr.","Klaipėdos r.","55-60","Vyras",2318
"Klaipėdos apskr.","Klaipėdos r.","60-65","Moteris",2123
"Klaipėdos apskr.","Klaipėdos r.","60-65","Vyras",1984
"Klaipėdos apskr.","Klaipėdos r.","65-70","Moteris",1562
"Klaipėdos apskr.","Klaipėdos r.","65-70","Vyras",1280
"Klaipėdos apskr.","Klaipėdos r.","70-75","Moteris",1290
"Klaipėdos apskr.","Klaipėdos r.","70-75","Vyras",901
"Klaipėdos apskr.","Klaipėdos r.","75-80","Moteris",1042
"Klaipėdos apskr.","Klaipėdos r.","75-80","Vyras",581
"Klaipėdos apskr.","Klaipėdos r.","80+","Moteris",1795
"Klaipėdos apskr.","Klaipėdos r.","80+","Vyras",755
"Klaipėdos apskr.","Kretingos r.","0-5","Moteris",937
"Klaipėdos apskr.","Kretingos r.","0-5","Vyras",1002
"Klaipėdos apskr.","Kretingos r.","10-15","Moteris",916
"Klaipėdos apskr.","Kretingos r.","10-15","Vyras",987
"Klaipėdos apskr.","Kretingos r.","15-20","Moteris",974
"Klaipėdos apskr.","Kretingos r.","15-20","Vyras",969
"Klaipėdos apskr.","Kretingos r.","20-25","Moteris",1108
"Klaipėdos apskr.","Kretingos r.","20-25","Vyras",1196
"Klaipėdos apskr.","Kretingos r.","25-30","Moteris",1164
"Klaipėdos apskr.","Kretingos r.","25-30","Vyras",1362
"Klaipėdos apskr.","Kretingos r.","30-35","Moteris",816
"Klaipėdos apskr.","Kretingos r.","30-35","Vyras",1094
"Klaipėdos apskr.","Kretingos r.","35-40","Moteris",929
"Klaipėdos apskr.","Kretingos r.","35-40","Vyras",981
"Klaipėdos apskr.","Kretingos r.","40-45","Moteris",1050
"Klaipėdos apskr.","Kretingos r.","40-45","Vyras",1052
"Klaipėdos apskr.","Kretingos r.","45-50","Moteris",1332
"Klaipėdos apskr.","Kretingos r.","45-50","Vyras",1309
"Klaipėdos apskr.","Kretingos r.","5-10","Moteris",991
"Klaipėdos apskr.","Kretingos r.","5-10","Vyras",994
"Klaipėdos apskr.","Kretingos r.","50-55","Moteris",1559
"Klaipėdos apskr.","Kretingos r.","50-55","Vyras",1380
"Klaipėdos apskr.","Kretingos r.","55-60","Moteris",1540
"Klaipėdos apskr.","Kretingos r.","55-60","Vyras",1443
"Klaipėdos apskr.","Kretingos r.","60-65","Moteris",1502
"Klaipėdos apskr.","Kretingos r.","60-65","Vyras",1217
"Klaipėdos apskr.","Kretingos r.","65-70","Moteris",1214
"Klaipėdos apskr.","Kretingos r.","65-70","Vyras",875
"Klaipėdos apskr.","Kretingos r.","70-75","Moteris",1036
"Klaipėdos apskr.","Kretingos r.","70-75","Vyras",662
"Klaipėdos apskr.","Kretingos r.","75-80","Moteris",966
"Klaipėdos apskr.","Kretingos r.","75-80","Vyras",485
"Klaipėdos apskr.","Kretingos r.","80+","Moteris",1630
"Klaipėdos apskr.","Kretingos r.","80+","Vyras",651
"Klaipėdos apskr.","Neringos","0-5","Moteris",107
"Klaipėdos apskr.","Neringos","0-5","Vyras",82
"Klaipėdos apskr.","Neringos","10-15","Moteris",60
"Klaipėdos apskr.","Neringos","10-15","Vyras",62
"Klaipėdos apskr.","Neringos","15-20","Moteris",62
"Klaipėdos apskr.","Neringos","15-20","Vyras",88
"Klaipėdos apskr.","Neringos","20-25","Moteris",70
"Klaipėdos apskr.","Neringos","20-25","Vyras",102
"Klaipėdos apskr.","Neringos","25-30","Moteris",92
"Klaipėdos apskr.","Neringos","25-30","Vyras",129
"Klaipėdos apskr.","Neringos","30-35","Moteris",118
"Klaipėdos apskr.","Neringos","30-35","Vyras",139
"Klaipėdos apskr.","Neringos","35-40","Moteris",118
"Klaipėdos apskr.","Neringos","35-40","Vyras",195
"Klaipėdos apskr.","Neringos","40-45","Moteris",135
"Klaipėdos apskr.","Neringos","40-45","Vyras",179
"Klaipėdos apskr.","Neringos","45-50","Moteris",128
"Klaipėdos apskr.","Neringos","45-50","Vyras",178
"Klaipėdos apskr.","Neringos","5-10","Moteris",103
"Klaipėdos apskr.","Neringos","5-10","Vyras",92
"Klaipėdos apskr.","Neringos","50-55","Moteris",145
"Klaipėdos apskr.","Neringos","50-55","Vyras",171
"Klaipėdos apskr.","Neringos","55-60","Moteris",153
"Klaipėdos apskr.","Neringos","55-60","Vyras",166
"Klaipėdos apskr.","Neringos","60-65","Moteris",137
"Klaipėdos apskr.","Neringos","60-65","Vyras",129
"Klaipėdos apskr.","Neringos","65-70","Moteris",105
"Klaipėdos apskr.","Neringos","65-70","Vyras",84
"Klaipėdos apskr.","Neringos","70-75","Moteris",80
"Klaipėdos apskr.","Neringos","70-75","Vyras",48
"Klaipėdos apskr.","Neringos","75-80","Moteris",41
"Klaipėdos apskr.","Neringos","75-80","Vyras",36
"Klaipėdos apskr.","Neringos","80+","Moteris",82
"Klaipėdos apskr.","Neringos","80+","Vyras",25
"Klaipėdos apskr.","Palangos m.","0-5","Moteris",371
"Klaipėdos apskr.","Palangos m.","0-5","Vyras",388
"Klaipėdos apskr.","Palangos m.","10-15","Moteris",389
"Klaipėdos apskr.","Palangos m.","10-15","Vyras",390
"Klaipėdos apskr.","Palangos m.","15-20","Moteris",297
"Klaipėdos apskr.","Palangos m.","15-20","Vyras",325
"Klaipėdos apskr.","Palangos m.","20-25","Moteris",388
"Klaipėdos apskr.","Palangos m.","20-25","Vyras",375
"Klaipėdos apskr.","Palangos m.","25-30","Moteris",404
"Klaipėdos apskr.","Palangos m.","25-30","Vyras",474
"Klaipėdos apskr.","Palangos m.","30-35","Moteris",393
"Klaipėdos apskr.","Palangos m.","30-35","Vyras",421
"Klaipėdos apskr.","Palangos m.","35-40","Moteris",450
"Klaipėdos apskr.","Palangos m.","35-40","Vyras",439
"Klaipėdos apskr.","Palangos m.","40-45","Moteris",499
"Klaipėdos apskr.","Palangos m.","40-45","Vyras",448
"Klaipėdos apskr.","Palangos m.","45-50","Moteris",598
"Klaipėdos apskr.","Palangos m.","45-50","Vyras",551
"Klaipėdos apskr.","Palangos m.","5-10","Moteris",407
"Klaipėdos apskr.","Palangos m.","5-10","Vyras",390
"Klaipėdos apskr.","Palangos m.","50-55","Moteris",659
"Klaipėdos apskr.","Palangos m.","50-55","Vyras",534
"Klaipėdos apskr.","Palangos m.","55-60","Moteris",757
"Klaipėdos apskr.","Palangos m.","55-60","Vyras",606
"Klaipėdos apskr.","Palangos m.","60-65","Moteris",884
"Klaipėdos apskr.","Palangos m.","60-65","Vyras",603
"Klaipėdos apskr.","Palangos m.","65-70","Moteris",719
"Klaipėdos apskr.","Palangos m.","65-70","Vyras",465
"Klaipėdos apskr.","Palangos m.","70-75","Moteris",622
"Klaipėdos apskr.","Palangos m.","70-75","Vyras",365
"Klaipėdos apskr.","Palangos m.","75-80","Moteris",483
"Klaipėdos apskr.","Palangos m.","75-80","Vyras",256
"Klaipėdos apskr.","Palangos m.","80+","Moteris",786
"Klaipėdos apskr.","Palangos m.","80+","Vyras",293
"Klaipėdos apskr.","Šilutės r.","0-5","Moteris",903
"Klaipėdos apskr.","Šilutės r.","0-5","Vyras",939
"Klaipėdos apskr.","Šilutės r.","10-15","Moteris",934
"Klaipėdos apskr.","Šilutės r.","10-15","Vyras",916
"Klaipėdos apskr.","Šilutės r.","15-20","Moteris",925
"Klaipėdos apskr.","Šilutės r.","15-20","Vyras",1003
"Klaipėdos apskr.","Šilutės r.","20-25","Moteris",1182
"Klaipėdos apskr.","Šilutės r.","20-25","Vyras",1303
"Klaipėdos apskr.","Šilutės r.","25-30","Moteris",1108
"Klaipėdos apskr.","Šilutės r.","25-30","Vyras",1359
"Klaipėdos apskr.","Šilutės r.","30-35","Moteris",803
"Klaipėdos apskr.","Šilutės r.","30-35","Vyras",1008
"Klaipėdos apskr.","Šilutės r.","35-40","Moteris",656
"Klaipėdos apskr.","Šilutės r.","35-40","Vyras",727
"Klaipėdos apskr.","Šilutės r.","40-45","Moteris",866
"Klaipėdos apskr.","Šilutės r.","40-45","Vyras",893
"Klaipėdos apskr.","Šilutės r.","45-50","Moteris",1331
"Klaipėdos apskr.","Šilutės r.","45-50","Vyras",1229
"Klaipėdos apskr.","Šilutės r.","5-10","Moteris",1092
"Klaipėdos apskr.","Šilutės r.","5-10","Vyras",1088
"Klaipėdos apskr.","Šilutės r.","50-55","Moteris",1562
"Klaipėdos apskr.","Šilutės r.","50-55","Vyras",1439
"Klaipėdos apskr.","Šilutės r.","55-60","Moteris",1624
"Klaipėdos apskr.","Šilutės r.","55-60","Vyras",1602
"Klaipėdos apskr.","Šilutės r.","60-65","Moteris",1685
"Klaipėdos apskr.","Šilutės r.","60-65","Vyras",1292
"Klaipėdos apskr.","Šilutės r.","65-70","Moteris",1254
"Klaipėdos apskr.","Šilutės r.","65-70","Vyras",895
"Klaipėdos apskr.","Šilutės r.","70-75","Moteris",1091
"Klaipėdos apskr.","Šilutės r.","70-75","Vyras",684
"Klaipėdos apskr.","Šilutės r.","75-80","Moteris",941
"Klaipėdos apskr.","Šilutės r.","75-80","Vyras",456
"Klaipėdos apskr.","Šilutės r.","80+","Moteris",1709
"Klaipėdos apskr.","Šilutės r.","80+","Vyras",588
"Klaipėdos apskr.","Skuodo r.","0-5","Moteris",370
"Klaipėdos apskr.","Skuodo r.","0-5","Vyras",372
"Klaipėdos apskr.","Skuodo r.","10-15","Moteris",337
"Klaipėdos apskr.","Skuodo r.","10-15","Vyras",323
"Klaipėdos apskr.","Skuodo r.","15-20","Moteris",413
"Klaipėdos apskr.","Skuodo r.","15-20","Vyras",429
"Klaipėdos apskr.","Skuodo r.","20-25","Moteris",548
"Klaipėdos apskr.","Skuodo r.","20-25","Vyras",585
"Klaipėdos apskr.","Skuodo r.","25-30","Moteris",387
"Klaipėdos apskr.","Skuodo r.","25-30","Vyras",608
"Klaipėdos apskr.","Skuodo r.","30-35","Moteris",86
"Klaipėdos apskr.","Skuodo r.","30-35","Vyras",358
"Klaipėdos apskr.","Skuodo r.","35-40","Moteris",133
"Klaipėdos apskr.","Skuodo r.","35-40","Vyras",180
"Klaipėdos apskr.","Skuodo r.","40-45","Moteris",360
"Klaipėdos apskr.","Skuodo r.","40-45","Vyras",322
"Klaipėdos apskr.","Skuodo r.","45-50","Moteris",505
"Klaipėdos apskr.","Skuodo r.","45-50","Vyras",484
"Klaipėdos apskr.","Skuodo r.","5-10","Moteris",418
"Klaipėdos apskr.","Skuodo r.","5-10","Vyras",364
"Klaipėdos apskr.","Skuodo r.","50-55","Moteris",700
"Klaipėdos apskr.","Skuodo r.","50-55","Vyras",626
"Klaipėdos apskr.","Skuodo r.","55-60","Moteris",733
"Klaipėdos apskr.","Skuodo r.","55-60","Vyras",720
"Klaipėdos apskr.","Skuodo r.","60-65","Moteris",733
"Klaipėdos apskr.","Skuodo r.","60-65","Vyras",631
"Klaipėdos apskr.","Skuodo r.","65-70","Moteris",630
"Klaipėdos apskr.","Skuodo r.","65-70","Vyras",505
"Klaipėdos apskr.","Skuodo r.","70-75","Moteris",585
"Klaipėdos apskr.","Skuodo r.","70-75","Vyras",378
"Klaipėdos apskr.","Skuodo r.","75-80","Moteris",528
"Klaipėdos apskr.","Skuodo r.","75-80","Vyras",299
"Klaipėdos apskr.","Skuodo r.","80+","Moteris",739
"Klaipėdos apskr.","Skuodo r.","80+","Vyras",276
"Marijampolės apskr.","Kalvarijos","0-5","Moteris",236
"Marijampolės apskr.","Kalvarijos","0-5","Vyras",267
"Marijampolės apskr.","Kalvarijos","10-15","Moteris",248
"Marijampolės apskr.","Kalvarijos","10-15","Vyras",270
"Marijampolės apskr.","Kalvarijos","15-20","Moteris",296
"Marijampolės apskr.","Kalvarijos","15-20","Vyras",311
"Marijampolės apskr.","Kalvarijos","20-25","Moteris",348
"Marijampolės apskr.","Kalvarijos","20-25","Vyras",365
"Marijampolės apskr.","Kalvarijos","25-30","Moteris",281
"Marijampolės apskr.","Kalvarijos","25-30","Vyras",414
"Marijampolės apskr.","Kalvarijos","30-35","Moteris",186
"Marijampolės apskr.","Kalvarijos","30-35","Vyras",276
"Marijampolės apskr.","Kalvarijos","35-40","Moteris",237
"Marijampolės apskr.","Kalvarijos","35-40","Vyras",220
"Marijampolės apskr.","Kalvarijos","40-45","Moteris",240
"Marijampolės apskr.","Kalvarijos","40-45","Vyras",258
"Marijampolės apskr.","Kalvarijos","45-50","Moteris",336
"Marijampolės apskr.","Kalvarijos","45-50","Vyras",384
"Marijampolės apskr.","Kalvarijos","5-10","Moteris",250
"Marijampolės apskr.","Kalvarijos","5-10","Vyras",314
"Marijampolės apskr.","Kalvarijos","50-55","Moteris",420
"Marijampolės apskr.","Kalvarijos","50-55","Vyras",374
"Marijampolės apskr.","Kalvarijos","55-60","Moteris",408
"Marijampolės apskr.","Kalvarijos","55-60","Vyras",399
"Marijampolės apskr.","Kalvarijos","60-65","Moteris",375
"Marijampolės apskr.","Kalvarijos","60-65","Vyras",351
"Marijampolės apskr.","Kalvarijos","65-70","Moteris",308
"Marijampolės apskr.","Kalvarijos","65-70","Vyras",251
"Marijampolės apskr.","Kalvarijos","70-75","Moteris",220
"Marijampolės apskr.","Kalvarijos","70-75","Vyras",142
"Marijampolės apskr.","Kalvarijos","75-80","Moteris",257
"Marijampolės apskr.","Kalvarijos","75-80","Vyras",103
"Marijampolės apskr.","Kalvarijos","80+","Moteris",458
"Marijampolės apskr.","Kalvarijos","80+","Vyras",150
"Marijampolės apskr.","Kazlų Rūdos","0-5","Moteris",233
"Marijampolės apskr.","Kazlų Rūdos","0-5","Vyras",274
"Marijampolės apskr.","Kazlų Rūdos","10-15","Moteris",263
"Marijampolės apskr.","Kazlų Rūdos","10-15","Vyras",278
"Marijampolės apskr.","Kazlų Rūdos","15-20","Moteris",307
"Marijampolės apskr.","Kazlų Rūdos","15-20","Vyras",352
"Marijampolės apskr.","Kazlų Rūdos","20-25","Moteris",321
"Marijampolės apskr.","Kazlų Rūdos","20-25","Vyras",359
"Marijampolės apskr.","Kazlų Rūdos","25-30","Moteris",315
"Marijampolės apskr.","Kazlų Rūdos","25-30","Vyras",369
"Marijampolės apskr.","Kazlų Rūdos","30-35","Moteris",242
"Marijampolės apskr.","Kazlų Rūdos","30-35","Vyras",366
"Marijampolės apskr.","Kazlų Rūdos","35-40","Moteris",270
"Marijampolės apskr.","Kazlų Rūdos","35-40","Vyras",232
"Marijampolės apskr.","Kazlų Rūdos","40-45","Moteris",307
"Marijampolės apskr.","Kazlų Rūdos","40-45","Vyras",318
"Marijampolės apskr.","Kazlų Rūdos","45-50","Moteris",363
"Marijampolės apskr.","Kazlų Rūdos","45-50","Vyras",422
"Marijampolės apskr.","Kazlų Rūdos","5-10","Moteris",282
"Marijampolės apskr.","Kazlų Rūdos","5-10","Vyras",301
"Marijampolės apskr.","Kazlų Rūdos","50-55","Moteris",401
"Marijampolės apskr.","Kazlų Rūdos","50-55","Vyras",427
"Marijampolės apskr.","Kazlų Rūdos","55-60","Moteris",493
"Marijampolės apskr.","Kazlų Rūdos","55-60","Vyras",397
"Marijampolės apskr.","Kazlų Rūdos","60-65","Moteris",476
"Marijampolės apskr.","Kazlų Rūdos","60-65","Vyras",383
"Marijampolės apskr.","Kazlų Rūdos","65-70","Moteris",364
"Marijampolės apskr.","Kazlų Rūdos","65-70","Vyras",250
"Marijampolės apskr.","Kazlų Rūdos","70-75","Moteris",355
"Marijampolės apskr.","Kazlų Rūdos","70-75","Vyras",232
"Marijampolės apskr.","Kazlų Rūdos","75-80","Moteris",308
"Marijampolės apskr.","Kazlų Rūdos","75-80","Vyras",162
"Marijampolės apskr.","Kazlų Rūdos","80+","Moteris",524
"Marijampolės apskr.","Kazlų Rūdos","80+","Vyras",193
"Marijampolės apskr.","Marijampolės","0-5","Moteris",1261
"Marijampolės apskr.","Marijampolės","0-5","Vyras",1329
"Marijampolės apskr.","Marijampolės","10-15","Moteris",1217
"Marijampolės apskr.","Marijampolės","10-15","Vyras",1385
"Marijampolės apskr.","Marijampolės","15-20","Moteris",1258
"Marijampolės apskr.","Marijampolės","15-20","Vyras",1357
"Marijampolės apskr.","Marijampolės","20-25","Moteris",1460
"Marijampolės apskr.","Marijampolės","20-25","Vyras",1545
"Marijampolės apskr.","Marijampolės","25-30","Moteris",1680
"Marijampolės apskr.","Marijampolės","25-30","Vyras",1855
"Marijampolės apskr.","Marijampolės","30-35","Moteris",1349
"Marijampolės apskr.","Marijampolės","30-35","Vyras",1833
"Marijampolės apskr.","Marijampolės","35-40","Moteris",1247
"Marijampolės apskr.","Marijampolės","35-40","Vyras",1798
"Marijampolės apskr.","Marijampolės","40-45","Moteris",1494
"Marijampolės apskr.","Marijampolės","40-45","Vyras",1749
"Marijampolės apskr.","Marijampolės","45-50","Moteris",1784
"Marijampolės apskr.","Marijampolės","45-50","Vyras",1803
"Marijampolės apskr.","Marijampolės","5-10","Moteris",1372
"Marijampolės apskr.","Marijampolės","5-10","Vyras",1420
"Marijampolės apskr.","Marijampolės","50-55","Moteris",2159
"Marijampolės apskr.","Marijampolės","50-55","Vyras",2029
"Marijampolės apskr.","Marijampolės","55-60","Moteris",2391
"Marijampolės apskr.","Marijampolės","55-60","Vyras",2075
"Marijampolės apskr.","Marijampolės","60-65","Moteris",2253
"Marijampolės apskr.","Marijampolės","60-65","Vyras",1911
"Marijampolės apskr.","Marijampolės","65-70","Moteris",1829
"Marijampolės apskr.","Marijampolės","65-70","Vyras",1280
"Marijampolės apskr.","Marijampolės","70-75","Moteris",1339
"Marijampolės apskr.","Marijampolės","70-75","Vyras",901
"Marijampolės apskr.","Marijampolės","75-80","Moteris",1390
"Marijampolės apskr.","Marijampolės","75-80","Vyras",650
"Marijampolės apskr.","Marijampolės","80+","Moteris",2255
"Marijampolės apskr.","Marijampolės","80+","Vyras",822
"Marijampolės apskr.","Šakių r.","0-5","Moteris",567
"Marijampolės apskr.","Šakių r.","0-5","Vyras",513
"Marijampolės apskr.","Šakių r.","10-15","Moteris",547
"Marijampolės apskr.","Šakių r.","10-15","Vyras",590
"Marijampolės apskr.","Šakių r.","15-20","Moteris",700
"Marijampolės apskr.","Šakių r.","15-20","Vyras",755
"Marijampolės apskr.","Šakių r.","20-25","Moteris",877
"Marijampolės apskr.","Šakių r.","20-25","Vyras",977
"Marijampolės apskr.","Šakių r.","25-30","Moteris",805
"Marijampolės apskr.","Šakių r.","25-30","Vyras",1020
"Marijampolės apskr.","Šakių r.","30-35","Moteris",382
"Marijampolės apskr.","Šakių r.","30-35","Vyras",729
"Marijampolės apskr.","Šakių r.","35-40","Moteris",407
"Marijampolės apskr.","Šakių r.","35-40","Vyras",494
"Marijampolės apskr.","Šakių r.","40-45","Moteris",608
"Marijampolės apskr.","Šakių r.","40-45","Vyras",606
"Marijampolės apskr.","Šakių r.","45-50","Moteris",923
"Marijampolės apskr.","Šakių r.","45-50","Vyras",850
"Marijampolės apskr.","Šakių r.","5-10","Moteris",662
"Marijampolės apskr.","Šakių r.","5-10","Vyras",692
"Marijampolės apskr.","Šakių r.","50-55","Moteris",1117
"Marijampolės apskr.","Šakių r.","50-55","Vyras",1019
"Marijampolės apskr.","Šakių r.","55-60","Moteris",1136
"Marijampolės apskr.","Šakių r.","55-60","Vyras",1154
"Marijampolės apskr.","Šakių r.","60-65","Moteris",1132
"Marijampolės apskr.","Šakių r.","60-65","Vyras",1025
"Marijampolės apskr.","Šakių r.","65-70","Moteris",825
"Marijampolės apskr.","Šakių r.","65-70","Vyras",603
"Marijampolės apskr.","Šakių r.","70-75","Moteris",774
"Marijampolės apskr.","Šakių r.","70-75","Vyras",463
"Marijampolės apskr.","Šakių r.","75-80","Moteris",804
"Marijampolės apskr.","Šakių r.","75-80","Vyras",375
"Marijampolės apskr.","Šakių r.","80+","Moteris",1374
"Marijampolės apskr.","Šakių r.","80+","Vyras",565
"Marijampolės apskr.","Vilkaviškio r.","0-5","Moteris",757
"Marijampolės apskr.","Vilkaviškio r.","0-5","Vyras",756
"Marijampolės apskr.","Vilkaviškio r.","10-15","Moteris",787
"Marijampolės apskr.","Vilkaviškio r.","10-15","Vyras",796
"Marijampolės apskr.","Vilkaviškio r.","15-20","Moteris",913
"Marijampolės apskr.","Vilkaviškio r.","15-20","Vyras",954
"Marijampolės apskr.","Vilkaviškio r.","20-25","Moteris",1102
"Marijampolės apskr.","Vilkaviškio r.","20-25","Vyras",1217
"Marijampolės apskr.","Vilkaviškio r.","25-30","Moteris",1002
"Marijampolės apskr.","Vilkaviškio r.","25-30","Vyras",1203
"Marijampolės apskr.","Vilkaviškio r.","30-35","Moteris",558
"Marijampolės apskr.","Vilkaviškio r.","30-35","Vyras",972
"Marijampolės apskr.","Vilkaviškio r.","35-40","Moteris",498
"Marijampolės apskr.","Vilkaviškio r.","35-40","Vyras",725
"Marijampolės apskr.","Vilkaviškio r.","40-45","Moteris",915
"Marijampolės apskr.","Vilkaviškio r.","40-45","Vyras",904
"Marijampolės apskr.","Vilkaviškio r.","45-50","Moteris",1238
"Marijampolės apskr.","Vilkaviškio r.","45-50","Vyras",1200
"Marijampolės apskr.","Vilkaviškio r.","5-10","Moteris",794
"Marijampolės apskr.","Vilkaviškio r.","5-10","Vyras",949
"Marijampolės apskr.","Vilkaviškio r.","50-55","Moteris",1344
"Marijampolės apskr.","Vilkaviškio r.","50-55","Vyras",1356
"Marijampolės apskr.","Vilkaviškio r.","55-60","Moteris",1502
"Marijampolės apskr.","Vilkaviškio r.","55-60","Vyras",1391
"Marijampolės apskr.","Vilkaviškio r.","60-65","Moteris",1415
"Marijampolės apskr.","Vilkaviškio r.","60-65","Vyras",1248
"Marijampolės apskr.","Vilkaviškio r.","65-70","Moteris",1279
"Marijampolės apskr.","Vilkaviškio r.","65-70","Vyras",926
"Marijampolės apskr.","Vilkaviškio r.","70-75","Moteris",1058
"Marijampolės apskr.","Vilkaviškio r.","70-75","Vyras",639
"Marijampolės apskr.","Vilkaviškio r.","75-80","Moteris",1069
"Marijampolės apskr.","Vilkaviškio r.","75-80","Vyras",522
"Marijampolės apskr.","Vilkaviškio r.","80+","Moteris",1655
"Marijampolės apskr.","Vilkaviškio r.","80+","Vyras",587
"Panevėžio apskr.","Biržų r.","0-5","Moteris",441
"Panevėžio apskr.","Biržų r.","0-5","Vyras",485
"Panevėžio apskr.","Biržų r.","10-15","Moteris",421
"Panevėžio apskr.","Biržų r.","10-15","Vyras",436
"Panevėžio apskr.","Biržų r.","15-20","Moteris",544
"Panevėžio apskr.","Biržų r.","15-20","Vyras",627
"Panevėžio apskr.","Biržų r.","20-25","Moteris",683
"Panevėžio apskr.","Biržų r.","20-25","Vyras",771
"Panevėžio apskr.","Biržų r.","25-30","Moteris",693
"Panevėžio apskr.","Biržų r.","25-30","Vyras",843
"Panevėžio apskr.","Biržų r.","30-35","Moteris",342
"Panevėžio apskr.","Biržų r.","30-35","Vyras",533
"Panevėžio apskr.","Biržų r.","35-40","Moteris",270
"Panevėžio apskr.","Biržų r.","35-40","Vyras",312
"Panevėžio apskr.","Biržų r.","40-45","Moteris",469
"Panevėžio apskr.","Biržų r.","40-45","Vyras",483
"Panevėžio apskr.","Biržų r.","45-50","Moteris",851
"Panevėžio apskr.","Biržų r.","45-50","Vyras",796
"Panevėžio apskr.","Biržų r.","5-10","Moteris",482
"Panevėžio apskr.","Biržų r.","5-10","Vyras",492
"Panevėžio apskr.","Biržų r.","50-55","Moteris",982
"Panevėžio apskr.","Biržų r.","50-55","Vyras",920
"Panevėžio apskr.","Biržų r.","55-60","Moteris",977
"Panevėžio apskr.","Biržų r.","55-60","Vyras",903
"Panevėžio apskr.","Biržų r.","60-65","Moteris",981
"Panevėžio apskr.","Biržų r.","60-65","Vyras",815
"Panevėžio apskr.","Biržų r.","65-70","Moteris",854
"Panevėžio apskr.","Biržų r.","65-70","Vyras",574
"Panevėžio apskr.","Biržų r.","70-75","Moteris",780
"Panevėžio apskr.","Biržų r.","70-75","Vyras",479
"Panevėžio apskr.","Biržų r.","75-80","Moteris",765
"Panevėžio apskr.","Biržų r.","75-80","Vyras",375
"Panevėžio apskr.","Biržų r.","80+","Moteris",1435
"Panevėžio apskr.","Biržų r.","80+","Vyras",491
"Panevėžio apskr.","Kupiškio r.","0-5","Moteris",328
"Panevėžio apskr.","Kupiškio r.","0-5","Vyras",327
"Panevėžio apskr.","Kupiškio r.","10-15","Moteris",349
"Panevėžio apskr.","Kupiškio r.","10-15","Vyras",293
"Panevėžio apskr.","Kupiškio r.","15-20","Moteris",431
"Panevėžio apskr.","Kupiškio r.","15-20","Vyras",416
"Panevėžio apskr.","Kupiškio r.","20-25","Moteris",493
"Panevėžio apskr.","Kupiškio r.","20-25","Vyras",534
"Panevėžio apskr.","Kupiškio r.","25-30","Moteris",435
"Panevėžio apskr.","Kupiškio r.","25-30","Vyras",587
"Panevėžio apskr.","Kupiškio r.","30-35","Moteris",195
"Panevėžio apskr.","Kupiškio r.","30-35","Vyras",412
"Panevėžio apskr.","Kupiškio r.","35-40","Moteris",195
"Panevėžio apskr.","Kupiškio r.","35-40","Vyras",284
"Panevėžio apskr.","Kupiškio r.","40-45","Moteris",373
"Panevėžio apskr.","Kupiškio r.","40-45","Vyras",392
"Panevėžio apskr.","Kupiškio r.","45-50","Moteris",531
"Panevėžio apskr.","Kupiškio r.","45-50","Vyras",513
"Panevėžio apskr.","Kupiškio r.","5-10","Moteris",381
"Panevėžio apskr.","Kupiškio r.","5-10","Vyras",361
